"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 01 03:14:02 UTC 2025","Sat Nov 01 03:14:03 UTC 2025","295","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Sat Nov 01 03:13:55 UTC 2025","Sat Nov 01 03:13:58 UTC 2025","3177","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Sat Nov 01 03:13:58 UTC 2025","Sat Nov 01 03:14:02 UTC 2025","3776","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Sat Nov 01 03:13:47 UTC 2025","Sat Nov 01 03:13:48 UTC 2025","315","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Sat Nov 01 03:13:52 UTC 2025","Sat Nov 01 03:13:55 UTC 2025","3270","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Sat Nov 01 03:13:37 UTC 2025","Sat Nov 01 03:13:47 UTC 2025","9935","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Sat Nov 01 03:13:48 UTC 2025","Sat Nov 01 03:13:52 UTC 2025","4106","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
