"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 01 03:53:59 UTC 2025","Mon Dec 01 03:54:00 UTC 2025","288","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Mon Dec 01 03:53:45 UTC 2025","Mon Dec 01 03:53:49 UTC 2025","4266","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Mon Dec 01 03:53:56 UTC 2025","Mon Dec 01 03:53:59 UTC 2025","3817","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Mon Dec 01 03:53:49 UTC 2025","Mon Dec 01 03:53:52 UTC 2025","3416","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Mon Dec 01 03:53:35 UTC 2025","Mon Dec 01 03:53:44 UTC 2025","8475","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Mon Dec 01 03:53:44 UTC 2025","Mon Dec 01 03:53:44 UTC 2025","308","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Mon Dec 01 03:53:52 UTC 2025","Mon Dec 01 03:53:56 UTC 2025","3279","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
