"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 01 06:59:11 UTC 2026","Mon Jun 01 06:59:21 UTC 2026","9999","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Mon Jun 01 06:59:26 UTC 2026","Mon Jun 01 06:59:29 UTC 2026","3660","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Mon Jun 01 06:59:22 UTC 2026","Mon Jun 01 06:59:26 UTC 2026","3485","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Mon Jun 01 06:59:33 UTC 2026","Mon Jun 01 06:59:36 UTC 2026","3481","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Mon Jun 01 06:59:36 UTC 2026","Mon Jun 01 06:59:36 UTC 2026","275","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Mon Jun 01 06:59:22 UTC 2026","Mon Jun 01 06:59:22 UTC 2026","405","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Mon Jun 01 06:59:29 UTC 2026","Mon Jun 01 06:59:33 UTC 2026","3216","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
