"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 01 03:43:10 UTC 2025","Sun Jun 01 03:43:14 UTC 2025","4217","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Sun Jun 01 03:42:28 UTC 2025","Sun Jun 01 03:42:36 UTC 2025","8247","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Sun Jun 01 03:43:14 UTC 2025","Sun Jun 01 03:43:18 UTC 2025","3936","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Sun Jun 01 03:43:23 UTC 2025","Sun Jun 01 03:43:23 UTC 2025","331","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Sun Jun 01 03:42:36 UTC 2025","Sun Jun 01 03:42:36 UTC 2025","363","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Sun Jun 01 03:43:18 UTC 2025","Sun Jun 01 03:43:23 UTC 2025","4620","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"failed","Sun Jun 01 03:42:37 UTC 2025","Sun Jun 01 03:43:10 UTC 2025","33076","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
