"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 01 03:42:06 UTC 2025","Tue Jul 01 03:42:07 UTC 2025","328","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Tue Jul 01 03:42:07 UTC 2025","Tue Jul 01 03:42:12 UTC 2025","4746","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Tue Jul 01 03:42:15 UTC 2025","Tue Jul 01 03:42:18 UTC 2025","2572","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Tue Jul 01 03:42:18 UTC 2025","Tue Jul 01 03:42:21 UTC 2025","3220","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Tue Jul 01 03:42:12 UTC 2025","Tue Jul 01 03:42:15 UTC 2025","3214","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Tue Jul 01 03:42:21 UTC 2025","Tue Jul 01 03:42:21 UTC 2025","270","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"failed","Tue Jul 01 03:41:57 UTC 2025","Tue Jul 01 03:42:06 UTC 2025","9027","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
