"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 03:13:38 UTC 2025","Wed Oct 01 03:13:41 UTC 2025","3333","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Wed Oct 01 03:13:30 UTC 2025","Wed Oct 01 03:13:34 UTC 2025","4654","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Wed Oct 01 03:13:41 UTC 2025","Wed Oct 01 03:13:45 UTC 2025","4066","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Wed Oct 01 03:13:29 UTC 2025","Wed Oct 01 03:13:29 UTC 2025","329","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Wed Oct 01 03:13:34 UTC 2025","Wed Oct 01 03:13:38 UTC 2025","3603","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Wed Oct 01 03:13:19 UTC 2025","Wed Oct 01 03:13:29 UTC 2025","9394","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Wed Oct 01 03:13:45 UTC 2025","Wed Oct 01 03:13:46 UTC 2025","307","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
