"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 01 04:32:23 UTC 2026","Sun Feb 01 04:32:30 UTC 2026","7417","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Sun Feb 01 04:32:34 UTC 2026","Sun Feb 01 04:32:40 UTC 2026","6263","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"failed","Sun Feb 01 04:31:49 UTC 2026","Sun Feb 01 04:32:23 UTC 2026","34174","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Sun Feb 01 04:32:40 UTC 2026","Sun Feb 01 04:32:41 UTC 2026","359","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Sun Feb 01 04:32:30 UTC 2026","Sun Feb 01 04:32:34 UTC 2026","3920","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Sun Feb 01 04:31:48 UTC 2026","Sun Feb 01 04:31:48 UTC 2026","512","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"failed","Sun Feb 01 04:31:37 UTC 2026","Sun Feb 01 04:31:48 UTC 2026","10459","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
