"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 01 03:57:34 UTC 2025","Fri Aug 01 03:57:43 UTC 2025","9407","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Fri Aug 01 03:57:44 UTC 2025","Fri Aug 01 03:57:50 UTC 2025","5984","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Fri Aug 01 03:58:02 UTC 2025","Fri Aug 01 03:58:03 UTC 2025","326","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Fri Aug 01 03:57:54 UTC 2025","Fri Aug 01 03:57:58 UTC 2025","3948","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Fri Aug 01 03:57:43 UTC 2025","Fri Aug 01 03:57:44 UTC 2025","381","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Fri Aug 01 03:57:50 UTC 2025","Fri Aug 01 03:57:54 UTC 2025","4098","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Fri Aug 01 03:57:58 UTC 2025","Fri Aug 01 03:58:02 UTC 2025","4362","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
