"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 21:42:30 UTC 2025","Thu May 15 21:42:30 UTC 2025","292","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Thu May 15 21:42:37 UTC 2025","Thu May 15 21:42:39 UTC 2025","2630","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Thu May 15 21:42:39 UTC 2025","Thu May 15 21:42:42 UTC 2025","2539","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Thu May 15 21:42:30 UTC 2025","Thu May 15 21:42:34 UTC 2025","3708","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"failed","Thu May 15 21:42:21 UTC 2025","Thu May 15 21:42:29 UTC 2025","8481","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Thu May 15 21:42:42 UTC 2025","Thu May 15 21:42:42 UTC 2025","260","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Thu May 15 21:42:34 UTC 2025","Thu May 15 21:42:37 UTC 2025","2637","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
