"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 04:49:38 UTC 2026","Wed Apr 01 04:49:42 UTC 2026","3657","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Wed Apr 01 04:49:26 UTC 2026","Wed Apr 01 04:49:26 UTC 2026","332","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Wed Apr 01 04:49:31 UTC 2026","Wed Apr 01 04:49:35 UTC 2026","3881","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Wed Apr 01 04:49:17 UTC 2026","Wed Apr 01 04:49:26 UTC 2026","9181","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Wed Apr 01 04:49:27 UTC 2026","Wed Apr 01 04:49:31 UTC 2026","4277","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Wed Apr 01 04:49:42 UTC 2026","Wed Apr 01 04:49:42 UTC 2026","285","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Wed Apr 01 04:49:35 UTC 2026","Wed Apr 01 04:49:38 UTC 2026","3097","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
