"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 01 07:25:23 UTC 2026","Tue Sep 01 07:25:27 UTC 2026","3243","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Tue Sep 01 07:25:13 UTC 2026","Tue Sep 01 07:25:17 UTC 2026","3776","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Tue Sep 01 07:25:20 UTC 2026","Tue Sep 01 07:25:23 UTC 2026","2967","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Tue Sep 01 07:25:17 UTC 2026","Tue Sep 01 07:25:20 UTC 2026","3085","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Tue Sep 01 07:25:04 UTC 2026","Tue Sep 01 07:25:13 UTC 2026","8722","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Tue Sep 01 07:25:13 UTC 2026","Tue Sep 01 07:25:13 UTC 2026","330","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Tue Sep 01 07:25:27 UTC 2026","Tue Sep 01 07:25:27 UTC 2026","273","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
