"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 01 03:53:13 UTC 2026","Thu Jan 01 03:53:18 UTC 2026","4461","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Thu Jan 01 03:53:07 UTC 2026","Thu Jan 01 03:53:07 UTC 2026","371","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Thu Jan 01 03:53:22 UTC 2026","Thu Jan 01 03:53:26 UTC 2026","4564","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"failed","Thu Jan 01 03:52:56 UTC 2026","Thu Jan 01 03:53:07 UTC 2026","10697","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Thu Jan 01 03:53:26 UTC 2026","Thu Jan 01 03:53:27 UTC 2026","337","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Thu Jan 01 03:53:08 UTC 2026","Thu Jan 01 03:53:13 UTC 2026","5522","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Thu Jan 01 03:53:18 UTC 2026","Thu Jan 01 03:53:22 UTC 2026","4138","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
