"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 01 06:35:46 UTC 2026","Wed Jul 01 06:35:51 UTC 2026","5287","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Wed Jul 01 06:35:55 UTC 2026","Wed Jul 01 06:35:59 UTC 2026","3899","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Wed Jul 01 06:36:04 UTC 2026","Wed Jul 01 06:36:04 UTC 2026","342","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"failed","Wed Jul 01 06:35:34 UTC 2026","Wed Jul 01 06:35:45 UTC 2026","11007","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Wed Jul 01 06:35:45 UTC 2026","Wed Jul 01 06:35:45 UTC 2026","368","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Wed Jul 01 06:35:51 UTC 2026","Wed Jul 01 06:35:55 UTC 2026","4284","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Wed Jul 01 06:35:59 UTC 2026","Wed Jul 01 06:36:04 UTC 2026","4524","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
