"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 03:23:08 UTC 2025","Mon Sep 01 03:23:08 UTC 2025","310","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Mon Sep 01 03:23:19 UTC 2025","Mon Sep 01 03:23:23 UTC 2025","3666","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Mon Sep 01 03:23:16 UTC 2025","Mon Sep 01 03:23:19 UTC 2025","3292","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Mon Sep 01 03:23:13 UTC 2025","Mon Sep 01 03:23:16 UTC 2025","3276","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"failed","Mon Sep 01 03:22:58 UTC 2025","Mon Sep 01 03:23:08 UTC 2025","9621","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Mon Sep 01 03:23:23 UTC 2025","Mon Sep 01 03:23:23 UTC 2025","287","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Mon Sep 01 03:23:09 UTC 2025","Mon Sep 01 03:23:13 UTC 2025","4266","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
