"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 01 04:25:55 UTC 2026","Sun Mar 01 04:26:04 UTC 2026","8727","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Sun Mar 01 04:25:47 UTC 2026","Sun Mar 01 04:25:55 UTC 2026","8074","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Sun Mar 01 04:25:38 UTC 2026","Sun Mar 01 04:25:47 UTC 2026","8958","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Sun Mar 01 04:26:04 UTC 2026","Sun Mar 01 04:26:04 UTC 2026","584","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Sun Mar 01 04:24:52 UTC 2026","Sun Mar 01 04:24:53 UTC 2026","1059","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
"passed","Sun Mar 01 04:24:53 UTC 2026","Sun Mar 01 04:25:38 UTC 2026","44611","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"failed","Sun Mar 01 04:24:38 UTC 2026","Sun Mar 01 04:24:51 UTC 2026","13616","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
