"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 01 05:29:41 UTC 2026","Sat Aug 01 05:29:51 UTC 2026","9641","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","iWillFail","iWillFail()",""
"passed","Sat Aug 01 05:29:52 UTC 2026","Sat Aug 01 05:29:56 UTC 2026","4205","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [1] Metro Exodus, Metro Exodus",""
"passed","Sat Aug 01 05:30:03 UTC 2026","Sat Aug 01 05:30:06 UTC 2026","3557","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","gamePageShouldHaveTitle","gamePageShouldHaveTitle()",""
"passed","Sat Aug 01 05:30:00 UTC 2026","Sat Aug 01 05:30:03 UTC 2026","3171","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [3] Fallout 2, Fallout 2",""
"passed","Sat Aug 01 05:29:56 UTC 2026","Sat Aug 01 05:30:00 UTC 2026","3489","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","canOpenGamePageAndCheckAllTranslationsButton","canOpenGamePageAndCheckAllTranslationsButton(String, String) [2] Disco Elysium, Disco Elysium - The Final Cut",""
"passed","Sat Aug 01 05:30:06 UTC 2026","Sat Aug 01 05:30:07 UTC 2026","282","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageTitleShouldContainText","mainPageTitleShouldContainText()",""
"passed","Sat Aug 01 05:29:51 UTC 2026","Sat Aug 01 05:29:52 UTC 2026","314","","ua.kuli.tests.MainPageTest","","ua.kuli.tests.MainPageTest","mainPageShouldHaveHeaderMenu","mainPageShouldHaveHeaderMenu()",""
